file,status,rows,n_cols,n_pos_cols,unique_first_col,pos_domain,header,fit_n,fit_missing,fit_min,fit_med,fit_max,fit_distinct,fit_floor_frac
Anderson_MPH_CaPTM.csv,ok,28,7,5,28,-FHILRST,sequences|pos1|pos2|pos3|pos4|pos5|fitness,28,0,-0.4609,1.0414,2.6243,27,0.036
Anderson_MPH_CdPTM.csv,ok,32,7,5,32,-FHILRST,sequences|pos1|pos2|pos3|pos4|pos5|fitness,32,0,0.0,0.7412,1.5024,32,0.031
Anderson_MPH_CoPTM.csv,ok,32,7,5,32,-FHILRST,sequences|pos1|pos2|pos3|pos4|pos5|fitness,32,0,-0.6556,0.6096,2.1959,32,0.031
Anderson_MPH_CuPTM.csv,ok,32,7,5,32,-FHILRST,sequences|pos1|pos2|pos3|pos4|pos5|fitness,32,0,-0.3872,0.6739,2.2122,32,0.031
Anderson_MPH_MgPTM.csv,ok,32,7,5,32,-FHILRST,sequences|pos1|pos2|pos3|pos4|pos5|fitness,32,0,-0.6144,0.5079,1.9908,32,0.031
Anderson_MPH_MnPTM.csv,ok,32,7,5,32,-FHILRST,sequences|pos1|pos2|pos3|pos4|pos5|fitness,32,0,-0.6925,0.2923,1.3385,31,0.031
Bakerlee2022_hap_37C.csv,ok,1022,12,10,1022,01,sequences|pos1|pos2|pos3|pos4|pos5|pos6|pos7,1022,0,-0.0081,0.0,0.0179,120,0.001
Bakerlee2022_hap_4NQO.csv,ok,1022,12,10,1022,01,sequences|pos1|pos2|pos3|pos4|pos5|pos6|pos7,1022,0,-0.0665,0.0,0.0283,171,0.001
Bakerlee2022_hap_YPDA.csv,ok,1022,12,10,1022,01,sequences|pos1|pos2|pos3|pos4|pos5|pos6|pos7,1022,0,-0.0995,0.0,0.0099,101,0.001
Bakerlee2022_hap_gu.csv,ok,1022,12,10,1022,01,sequences|pos1|pos2|pos3|pos4|pos5|pos6|pos7,1022,0,-0.0573,0.0,0.0778,92,0.001
Bakerlee2022_hap_salt.csv,ok,1022,12,10,1022,01,sequences|pos1|pos2|pos3|pos4|pos5|pos6|pos7,1022,0,-0.0177,0.0,0.0931,56,0.001
Bakerlee2022_hap_suloc.csv,ok,1022,12,10,1022,01,sequences|pos1|pos2|pos3|pos4|pos5|pos6|pos7,1022,0,-0.0043,0.0,0.015,143,0.001
Bakerlee2022_hom_37C.csv,ok,1022,12,10,1022,01,sequences|pos1|pos2|pos3|pos4|pos5|pos6|pos7,1022,0,-0.0079,0.0,0.0193,122,0.001
Bakerlee2022_hom_4NQO.csv,ok,1022,12,10,1022,01,sequences|pos1|pos2|pos3|pos4|pos5|pos6|pos7,1022,0,-0.0451,0.0,0.0265,118,0.001
Bakerlee2022_hom_YPDA.csv,ok,1022,12,10,1022,01,sequences|pos1|pos2|pos3|pos4|pos5|pos6|pos7,1022,0,-0.0553,0.0,0.0364,122,0.001
Bakerlee2022_hom_gu.csv,ok,1022,12,10,1022,01,sequences|pos1|pos2|pos3|pos4|pos5|pos6|pos7,1022,0,-0.0783,0.0,0.0823,68,0.001
Bakerlee2022_hom_salt.csv,ok,1022,12,10,1022,01,sequences|pos1|pos2|pos3|pos4|pos5|pos6|pos7,1022,0,-0.0338,0.0,0.1012,51,0.001
Bakerlee2022_hom_suloc.csv,ok,1022,12,10,1022,01,sequences|pos1|pos2|pos3|pos4|pos5|pos6|pos7,1022,0,-7.9504,0.0,0.0089,125,0.001
Bank2016a.csv,ok,640,11,9,640,AEFGHILMNPQSTW,sequences|pos1|pos2|pos3|pos4|pos5|pos6|pos7,640,0,0.0,97.0,1827.5,388,0.048
Bank2016b.csv,ok,64,8,0,,,sequences|F583H|W585L|S586T|A587P|N588A|M589A|fitness,64,0,-0.5527,-0.0141,0.0244,64,0.016
Bendixsen2019_hdv.csv,ok,16384,16,14,16384,ACGT,sequences|pos1|pos2|pos3|pos4|pos5|pos6|pos7,16384,0,0.0,0.0205,1.3675,9347,0.429
Bendixsen2019_ligase.csv,ok,16384,16,14,16384,ACGT,sequences|pos1|pos2|pos3|pos4|pos5|pos6|pos7,16384,0,0.0002,0.006,19.1753,15249,0.0
Bridgham2009.csv,ok,16,6,0,,,sequences|X|Y|Z|W|fitness,9,7,1.5,6.2,135.7,9,0.111
Centurion2019.csv,ok,3072,13,11,3072,ACGT,sequences|pos1|pos2|pos3|pos4|pos5|pos6|pos7,3072,0,0.0037,0.9222,1.5433,3072,0.0
Chou2011.csv,ok,16,6,4,16,01,sequences|pos1|pos2|pos3|pos4|fitness,16,0,0.0,0.1787,0.2867,16,0.062
Diaz-Colunga_colorants.csv,ok,256,10,8,256,01,sequences|pos1|pos2|pos3|pos4|pos5|pos6|pos7,256,0,0.0,0.6794,1.3254,247,0.004
Diaz-Colunga_pseudo.csv,ok,256,10,8,256,01,sequences|pos1|pos2|pos3|pos4|pos5|pos6|pos7,256,0,0.0,1.0138,1.2945,251,0.004
Domingo2018.csv,ok,4176,12,10,4176,ACGU,sequences|pos1|pos2|pos3|pos4|pos5|pos6|pos7,4176,0,-0.8626,-0.2024,0.0909,4176,0.0
Frohlich21_OXA-48_ic50_CAZtraj1.csv,ok,16,6,4,16,AFLSTV,sequences|pos1|pos2|pos3|pos4|fitness,16,0,-0.0019,0.0902,1.6298,15,0.062
Frohlich21_OXA-48_ic50_CAZtraj2.csv,ok,64,8,6,64,DEFHKNPQTV,sequences|pos1|pos2|pos3|pos4|pos5|pos6|fitness,64,0,-0.0073,0.4793,1.5626,62,0.016
Frohlich21_OXA-48_ic50_CAZtraj3.csv,ok,64,8,6,64,DFGIKLPQT,sequences|pos1|pos2|pos3|pos4|pos5|pos6|fitness,64,0,-0.0016,0.0741,1.3601,60,0.016
Frohlich21_OXA-48_ic50_PIPtraj1.csv,ok,16,6,4,16,AFLSTV,sequences|pos1|pos2|pos3|pos4|fitness,16,0,-1.7208,-1.7208,0.0,15,0.062
Frohlich21_OXA-48_ic50_PIPtraj2.csv,ok,64,8,6,64,DEFHKNPQTV,sequences|pos1|pos2|pos3|pos4|pos5|pos6|fitness,64,0,-1.5897,-1.5735,0.0,61,0.016
Frohlich21_OXA-48_ic50_PIPtraj3.csv,ok,64,8,6,64,DFGIKLPQT,sequences|pos1|pos2|pos3|pos4|pos5|pos6|fitness,64,0,-2.0357,-0.4949,0.2253,59,0.016
Guerrero2019_C_muridarum_GroEL.csv,ok,8,5,3,8,01,sequences|pos1|pos2|pos3|fitness,8,0,0.0771,0.0959,0.0997,8,0.125
Guerrero2019_C_muridarum_LON.csv,ok,8,5,3,8,01,sequences|pos1|pos2|pos3|fitness,8,0,0.0876,0.1069,0.1153,8,0.125
Guerrero2019_C_muridarum_WT.csv,ok,8,5,3,8,01,sequences|pos1|pos2|pos3|fitness,8,0,0.2698,0.2967,0.3132,8,0.125
Guerrero2019_E_coli_GroEL.csv,ok,8,5,3,8,01,sequences|pos1|pos2|pos3|fitness,8,0,0.0772,0.1171,0.1216,8,0.125
Guerrero2019_E_coli_LON.csv,ok,8,5,3,8,01,sequences|pos1|pos2|pos3|fitness,8,0,0.1273,0.2273,0.2574,8,0.125
